,Unnamed: 0,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
31,31.0,Senior Analyst (Vendor Management) – IT PMO & Partnerships,flydubai,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/flydubai-United Arab Emirates-91851,"Dubai, United Arab Emirates",Posted 26 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Analysis - Business Analysis - Finance - Accounting - Financial Analysis - Microsoft Office - Software Development - System Analysis - Computer Engineering - Engineering - Commerce - Project Management - Software - Business - Communication Skills - English - Analytical - Data Analysis ,"Oversees the management of Opex/Capex resources, including the timely initiation of Purchase Requests (PRs) and Purchase Orders (POs).  - Ensures prompt vendor payments, encompassing around 45,000 person-days of resource utilization. - Supervises the execution of Turnkey and Fixed Bid projects awarded to our development partners, ensuring their successful delivery within scope, budget, and timelines. - Manages the financial aspects of the IT Opex portfolio, including budget tracking, cost optimization, and financial reporting. - Conducts monthly Business and Technology Service reviews with vendors and fosters collaborative relationships, addresses concerns, and drives continuous improvement. - Monitors and reports on the status of payments to vendors, ensuring adherence to Service Level Agreements (SLAs) and payment credit periods.  - Collaborates closely with Procurement and Finance teams to secure timely approvals and payments. - Develops and maintains key performance indicators (KPIs) to assess vendor performance, service quality, cost-effectiveness and implements improvements based on data-driven insights. - Ensures that vendors comply with contractual obligations and meets the established performance standards, promptly addressing any discrepancies or non-compliance. - Identifies and mitigates risks associated with vendor relationships, including potential cost overruns, service disruptions, or contractual disputes. - Collaborates with stakeholders to select and onboard new vendors, ensuring alignment with organizational goals and standards. - Seeks opportunities proactively for process optimization, cost reduction, and operational efficiency within the vendor management framework. - Maintains effective communication with internal stakeholders, including IT teams, Procurement, Finance, and Business Units, to align vendor management activities with organizational objectives. - Conducts regular vendor performance assessments and provides constructive feedback to enhance service delivery. - Bachelor’s Degree (or equivalent) - Degree in Statistics or Business Data Science (preferred) - Strong knowledge and experience in airline technologies, systems and processes. - Preferred No. of Years (with Relevant Degree) - 5 - Preferred No. of Years (without Relevant Degree - if applicable) - 8 - PMP certification (PMI) or Prince II Certification - Customer Focus - Team work - Effective Communication - Personal Accountability & Commitment to achieve - Resilience and Flexibility (Can do attitude) ",not mentioned
32,32.0,Senior Business Analyst,MENASSAT,Real Estate/Property Management,"Cairo, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/MENASSAT-Egypt-69489,"New Cairo, Cairo",Posted 28 days ago,2023-11-26,5 to 8 years,Experienced (Non-Manager),Not Specified,Confidential,Analyst/Research ,Analysis - business - Business Analysis - Business Development - Communication - Communication skills - Data - quality - Technical Writing ,"Define configuration specifications and business analysis requirements - Perform quality assurance - Define reporting and alerting requirements - Own and develop relationship with partners, working with them to optimize and enhance our integration - Communicate key insights and findings to product team - Constantly be on the lookout for ways to improve monitoring, discover issues and deliver better value to the customer - Will play a crucial role in analyzing our company's operations and identifying areas for improvement and growth. - Responsibilities will include gathering and documenting business requirements, conducting market research, and collaborating with cross-functional teams to deliver innovative solutions.- Conduct market research and competitor analysis to identify industry trends and opportunities. ",Previous experience in Business / Systems Analysis or Quality Assurance - Proven experience in eliciting requirements and testing - Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools - Basic knowledge in generating process documentation - Strong written and verbal communication skills including technical writing skills - 
33,33.0,Quantitative Finance Analyst,Charterhouse Middle East,unknown,"Doha, Qatar • ",https://wuzzuf.net/jobs/careers/Charterhouse Middle East-Qatar-91678,"Dubai, United Arab Emirates",Posted 1 month ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,Accounting/Finance - Administration - Analyst/Research ,Accounting - Finance - Financial Analysis - Commerce - Microsoft Office - Analysis - Economics - Microsoft Excel - Data Mining - Feasibility - Feasibility Studies - Feasibility Study - Financial Analyst - Financial Modeling - MBA - Quantitative Research - Admin - Administration - Business - Business Analysis ,,not mentioned
34,34.0,Senior Analyst - Accounting,S.C. Johnson & Son Inc,unknown,"Cairo, Egypt • ",https://wuzzuf.net/jobs/careers/S.C. Johnson & Son Inc-Egypt-94731,"Cairo, Egypt",Posted 30 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Analysis - Business Analysis - Finance - Accounting - Financial Analysis - Microsoft Office - Software Development - System Analysis - Computer Engineering - Engineering - Commerce - Project Management - Software - Business - Communication Skills - English - Analytical - Data Analysis ,"Handling CH6 business (MENAPT and French West Africa) - Perform periodic G/L reconciliations in line with company policies - Help to establish/update controls as needed for new processes or changes to current processes in accordance with global policies - Month end closing accounting activities. - Coordination internal and external audits as well as SOAR testing - Strong accounting and financial skills. - Knowledge and experience of SAP, Business Warehouse, BPC or similar ERP system preferred - Experience of monthly closing, balance sheet, month-end reporting, accruals and reconciliations. - Strong internal controls capabilities. - Minimum 3 years of experience. - Based in Egypt, we can offer you a competitive salary, profit share and benefits. ",not mentioned
35,35.0,Business and System Analyst,Dolf,Information Technology Services,"Cairo, Egypt • 11-50 employees",https://wuzzuf.net/jobs/careers/Dolf-Egypt-27171,"Khobar, Saudi Arabia",Posted 7 days ago,2023-11-26,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Administration - Business Development - Analyst/Research ,Business Analysis - Project Management - Information Technology (IT) ,"Collaborate with stakeholders to understand business objectives, processes, and user needs. - Conduct thorough requirements gathering sessions and document functional and non-functional requirements. - Translate business requirements into detailed system specifications and design documents. - Work closely with the development team to ensure the system design aligns with business goals and user expectations. - Analyze existing business processes and systems to identify areas for improvement. - Propose and implement solutions to enhance efficiency, usability, and overall business performance. - Analyze and interpret complex data sets to provide valuable insights for decision-making. - Collaborate with data engineers to design and implement data models and structures. - Develop test cases and collaborate with end-users to conduct UAT. - Ensure that delivered solutions meet business requirements and quality standards. - Facilitate communication between business stakeholders and the development team. - Collaborate with cross-functional teams to ensure a common understanding of project goals and timelines. - Assist in project planning, including defining scope, objectives, and deliverables. - Monitor project progress, identify risks, and propose mitigation strategies. ","Bachelor’s degree in information technology, or a related field. - Proven experience as a Business Analyst and System Analyst in the IT industry. - Strong analytical and problem-solving skills. - Excellent documentation and communication skills. - Strong Knowledge of software development life cycle (SDLC) and Agile methodologies. - Ability to work collaboratively in a team environment. - Familiarity with project management tools (e.g., Jira, Trello). - Experience with data visualization tools (e.g., Tableau, MS PBI). - Certification in Business Analysis (e.g., CBAP) is a plus. - Health insurance - Professional development opportunities - Collaborative and dynamic work environment - "
36,36.0,Channel Marketing Analyst (Temp 1 Year),Schneider Electric - Egypt,unknown,"Cairo, Egypt • ",https://wuzzuf.net/jobs/careers/Schneider Electric - Egypt-Egypt-91590,Egypt ,Posted 1 month ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,Marketing/PR/Advertising - Analyst/Research - Media/Journalism/Publishing ,Marketing - Market Research - Analysis - Research - Advertising - Branding - Business - Business Analysis - Digital Marketing - Economics - Microsoft Office - Data Analysis - Market Analysis - Marketing Analysis - Business Administration - Microsoft Excel - SPSS - Social Media - Statistics - Business Development ,Fluent in English  - French language will be valuable  ,not mentioned
37,37.0,Sr. Business Analyst,egabi solutions,"Computer Software, Information Technology Services","Cairo, Egypt • 101-500 employees",https://wuzzuf.net/jobs/careers/Egabi-Solutions-Egypt-58526,"Cairo, Egypt",Posted 7 hours ago,2023-11-26,More than 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Project Management - Business Analysis - Business - English - Software - Engineering - Software Development - Microsoft Office - Arabic - Development - System Analysis - Testing - Business Analyst - Business Analyst Team Lead - CCBA - CBAP - AAC - Analyst - GIS Analysis ,"Perform detailed analysis and processes documentation to propose solutions for business areas and to prepare functional specifications. - Study projects proposals and RFP to understand the project scope, and communicate sales/presales team to stand on solid project scope - Create informative and actionable reports that highlights relevant business trends and opportunities for improvement. - Suggest changes to senior management using analytics to support your recommendations. - Persuade internal and external stakeholders of the benefits of new technology or strategies. - Prepare requirements management plan and size the effort required for each requirement management activity. - Identify problems within a business, including through using data modelling techniques. - Conduct meetings with different business stakeholders to elicit and validate business and user requirements. - Accurately and efficiently identify, define, document, and present business requirements. - Construct workflow charts and diagrams, studying system capabilities and writing specifications. - Staying up-to-date on the latest process and IT advancements to automate, modernize systems and design modifications - Create Use Cases/User Stories to clarify system behavior & Acceptance criteria. - Identify gaps between the current processes and propose new one to improve processes - Report actual efforts spent & update task percentage achieved. - Perform different analysis techniques to validate the requirements before and after documentation. - Seek customer’s Approval on requirements specifications documents. - Act as a strategic partner between the business community/users and IT development teams to ensure technical compatibility and user satisfaction. - Facilitate workshop sessions involving Development, testing, UI/UX and Support representatives to ensure deliverables for future releases are agreed. - Maintain user confidence and protect operations by keeping information confidential. - Enhance department and organization by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments. ","Bachelor’s degree in Computer Science/Engineering or equivalent. - CCBA , CBAP, AAC is a plus. - GIS  analysis Experience is a must  - At least 4 Years in software industry (Software development/ Testing/ Consultation). - 5-6 years of experience as a Business Analyst supervisory position. - Technical experience in software development and/or implementation. - Business Writing and Reporting. - Documentation proficiency in both English and Arabic. - "
38,38.0,Sales Analyst,PICO,Agriculture/Fishing/Farming,"Cairo, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/PICO-Egypt-1595,"Zamalek, Cairo",Posted 5 days ago,2023-11-26,1 to 2 years,Experienced (Non-Manager),Not Specified,Confidential,Analyst/Research ,Analysis - excel - FMCG - Sales - Sales Analysis ,"Interpreting data, analyzing results using statistical techniques - Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and quality - Acquiring data from primary or secondary data sources and maintaining databases - Identify, analyze, and interpret trends or patterns in complex data sets - Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems - Work with sector management to prioritize business and information needs - Locate and define new process improvement opportunities - Follow up on shipments and release invoices and statements. Tracing due payments until the account is clear. - Follow up all procedures starting from the order, going through the arrival of shipment, quality report receipt, till the finalization of the account. - Contact concerned governmental agencies to collect data related to importers, international exhibitions, and trade missions and analyze accordingly.  ","Minimum 1-2 years of experience Sales/Export/Finance functions in FMCG. - Technical expertise regarding data models, database design development, data mining and segmentation techniques - Knowledge on working on ERP & CRM systems (JD Edwards)  - Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) - Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) - Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - Adept at queries, report writing and presenting findings - BS in Mathematics, Economics, Information Management or Statistics - "
39,39.0,Credit Analyst (Banking) Muscat - OMAN,Pillars,"Human Resources, Recruitment and Staffing","Cairo, Egypt • 1-10 employees",https://wuzzuf.net/jobs/careers/Pillars-Egypt-4586,"Cairo, Egypt",Posted 6 days ago,2023-11-26,6 to 12 years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance - Banking ,Credit Analyst - credit - Financial Analysis - Analyst ,"Analyze income statements, balance sheets, cash flow statements, projections and tax returns to understand the financial health borrowers - Identify any irregularities or discrepancies in financial data - Stay updated on industry trends, economic conditions, and market developments that could impact credit risk - Assess the borrower's industry and market conditions to make informed lending decisions - Assign a credit score or rating to applicants based on their financial health, payment history, and other relevant factors - Determine the likelihood of default and potential losses associated with each credit request - Discuss with BU RMs/Credit Analyst and other Business Units of the Bank in order to facilitate proper structuring of facilities / security structure in order to minimize risks - Prepare credit reports and documentation outlining the credit analysis and recommendations - Liaison with RCU to ensure accurate reflection in the CAs of security held and security required - Monitor the creditworthiness of existing borrowers and make recommendations for changes in credit terms if necessary - Assist in managing and reducing the bank's overall credit risk exposure - Build and grow strong positive working relationships with stakeholders and business units - Champion quality-driven outcomes and identity, implement and enforce quality processes - Be a role model for teamwork, communication, building partnerships to collectively deliver excellent outcomes. - Ensure Compliance with banks policies and procedures - Undertake specific assignments as required in order to supporting the wider bank to achieve its objectives, working on specific and ad-hoc assignments as required ","Bachelor's degree in Finance or related major - Minimum 6 years of experience in credit analyst role - Experience in the financial sector - Demonstratable financial analysis experience - Ability of building, managing and influencing relationships - Strong problem-solving and analytical abilities - Strong communication and engagement skills – written, oral and presentation - Organized and skillful at prioritizing and planning multiple activities and then delivering agreed outcomes on time. - Extremely organized, whilst remaining an ability to successfully manage multiple priorities - Supportive of continuous improvement. - "
40,40.0,Data Analyst,Confidential Company ,unknown,unknown,unknown,"Alexandria, Egypt",Posted 2 months ago,2023-11-26,2 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,analytical - Business Intelligence - Communication skills - English - Data Analysis - Amazon AWS - Information Technology (IT) ,"Migrate all existing Microstrategy reports into AWS Quicksight ensuring accuracy and minimal disruption. - Collaborate with stakeholders to understand our industry, client needs, and key performance metrics. - Design and develop new analytic reports, translating business needs into actionable insights. - Work with the sales and marketing departments to determine their reporting requirements. - Ensure the security and confidentiality of data. - Regularly review and optimize report performance and quality. - Familiarize oneself with ETL processes to aid in data extraction and transformation. - Stay updated with the latest industry trends and best practices in data analysis and AWS cloud analytics. - Provide training and support to team members on AWS Quicksight as needed. ","Bachelor's degree in Computer Science, Data Science, Information Systems, or a related field. - Fluent spoken and written English is a must. - Proficiency in AWS Quicksight and its functionalities. - Prior experience with Microstrategy or other Business Intelligence platforms. - Strong analytical mindset with the ability to interpret significant amounts of data. - Familiarity with ETL processes. - Excellent communication skills to translate data findings into understandable and actionable insights. - Experience with AWS and its suite of analytics and data services. - Knowledge of other BI tools in the market. - Experience in trade shows and events is a plus. - Detail-oriented and committed to data accuracy. - Able to work collaboratively in a team environment. - Self-starter with a proactive approach to problem-solving. - Capable of managing multiple projects and deadlines simultaneously. - "
41,41.0,SOC Analyst – Level 1- KSA,IT Security C&T,unknown,"Khobar, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/IT Security C&T-Saudi Arabia-91725,"Riyadh, Saudi Arabia",Posted 2 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,information technology (it) - computer science - customer service - analysis - engineering - operations - research - siem - administration - analyst - management - security operations ,"Work as part of 24x7 security operation team - Monitor the Security Information and Event Management System (SIEM) and follow up all related security incidents and events. - Follow the day-to-day operations related to own job to ensure continuity of work - Respond to security incidents and report on incident handling and resolution. - Participate in forensic analysis and data recovery, and penetration testing. - Perform daily security analysis and scanning and assessment for information security risks, threats and vulnerabilities. - Proactive research to identify and understand new threats, vulnerabilities, and exploits. - Configuration and administration of security systems and tools. - Define and evaluate security technologies required to ensure safe technology operation and detection of cyber-attack. - Provide the security recommendations on actions which assist in improving security posture within CLIENT Environment. - Follow all relevant departmental policies, processes, standard operating procedures and instructions so that work is carried out in a controlled and consistent manner - Participating in reviewing and documenting computer security and emergency  gate identified vulnerabilities and promote security initiatives. - Bachelor’s degree in IT, Engineering, or related field of study preferred; - 1+ years of experience in IT/Security operations or SOC role.  - Professional Security certification preferred (CCNA, Security+ CIHE, GCIH, CEH, CPTE, or equivalent). - Knowledge and experience in network switches, routers and firewalls - Knowledge of Microsoft Word, Project, Excel, Access, Visio ",not mentioned
42,42.0,System Analyst,Sceel.io,"Computer Software, Outsourcing/Offshoring, Recruitment and Staffing","Cairo, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/sceel-Egypt-73908,"Maadi, Cairo",Posted 7 days ago,2023-11-26,3 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Agile - Analysis - business - Business Analysis - Computer Science - Database - Information Technology (IT) - Software - Software Development - SQL - System Analysis - Design ,"Collaborate with business stakeholders to gather and document functional and non-functional requirements for new or existing systems.  - Analyze current business processes, systems, and technologies to identify areas for improvement and optimization. - Design and propose effective and efficient IT solutions that address business needs, including system architecture, workflows, data models, and user interfaces. - Create detailed system documentation, including requirement specifications, system design documents, data flow diagrams, and user manuals. - Act as a liaison between business stakeholders and IT teams, facilitating communication to ensure that project requirements are clearly understood by all parties. - Assist in defining test cases and participate in the testing and quality assurance process to ensure that developed solutions meet requirements. - Collaborate with project managers to ensure that projects are completed on time and within budget. - Provide support to end-users and resolve issues related to systems and applications. - Stay informed about emerging technologies and industry trends, and evaluate their potential to benefit the organization. ","Bachelor's degree in computer science, Information Technology, or a related field   - Proven experience as a System Analyst or Business Analyst, including requirements gathering, analysis, and documentation. - Strong analytical and problem-solving skills. - Excellent communication and interpersonal skills to effectively interact with stakeholders and development teams. - Proficiency in using analysis and design tools, such as data modeling software, workflow modeling tools, and project management software. - Knowledge of software development methodologies, such as Agile or Waterfall. - Familiarity with database management systems and SQL. - "
43,43.0,Business Analyst,Albadr smart systems,unknown,Egypt • ,https://wuzzuf.net/jobs/careers/Albadr smart systems-Egypt-97088,"Samanoud, Gharbia",Posted 12 hours ago,2023-11-26,2 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,analytical - Business Analysis - SQL - Analysis - business ,"Collaborate with business stakeholders to understand and document project requirements. - Conduct interviews, surveys, and workshops to elicit and clarify business needs. - Work closely with programming and development teams to understand technical aspects of projects. - Analyze complex programming workflows and processes to identify areas for improvement. - Create clear and concise documentation, including business requirements, functional specifications, and technical documentation. - Develop and maintain process flow diagrams, data models, and other relevant documentation. - Serve as a liaison between business stakeholders and programming teams, ensuring clear communication of requirements. - Facilitate meetings and presentations to convey technical concepts to non-technical stakeholders. - Utilize data analysis tools, SQL, and other relevant technologies to extract insights and inform decision-making processes. - Collaborate with testing teams to ensure that developed solutions meet business requirements. - Participate in the testing process and validate that implemented features align with business needs. ",2-4 years of experience in a related field. - Strong experience in SQL & Business Analytics is a must. - Hands-on experience in the e-commerce industry is a plus. - Strong communication and presentation skills. - Strong analytical thinking and strategic thinking. - 
44,44.0,Financial Analyst,Care Services EG,Other - Not Classified,Egypt • 11-50 employees,https://wuzzuf.net/jobs/careers/lead-Egypt-93378,"Abbassia, Cairo",Posted 15 days ago,2023-11-26,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance - Analyst/Research ,Accounting - Analysis - Analyst - Communication skills - Financial Analysis - Forecasting - Research - Reporting - Financial - Economics ,"Conduct financial analysis by reviewing financial statements, performing ratio analysis, identifying trends, and assessing financial performance. - Collect and compile financial data from various sources, interpret the data, and prepare reports, charts, and graphs to present findings. - Assist in the preparation of budgets and financial forecasts by analyzing historical data, identifying patterns, and making projections. - Produce monthly reports, which include key metrics, financial results, variance reporting. - Prepare the appropriate templates to prepare annual budgets for all concerned departments. - Build and maintain financial models to support strategic planning, investment analysis, and pricing decisions. - Analyze and explain variances between actual financial results and budgeted/forecasted figures, investigating and reporting on the underlying causes. - Assist in evaluating financial risks and assessing their potential impact on the organization's financial performance. - Stay updated on economic conditions, and competitor activities to provide insights and recommendations for business decisions. - Prepare and present financial reports, summaries, and presentations to management and other stakeholders. - Provide creative alternatives and recommendations to reduce costs and improve financial performance - Reconcile transactions by comparing and correcting data - Drive process improvement and policy development initiatives that impact the function ",
45,45.0,Senior Software Business Analyst,Sscegypt,unknown,"Cairo, Egypt • ",https://wuzzuf.net/jobs/careers/Sscegypt-Egypt-96881,"Cairo, Egypt",Posted 7 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Business Analysis - Information Technology (IT) - Computer Science - Analysis - Software - Software Development - Computer Engineering - Software Engineering - System Analysis - Engineering - Agile - Business - Software Analysis - Analytical - Project Management - UML - Business Development - Communication Skills - Development - Analyst ,,not mentioned
46,46.0,Real Time Analyst,Final Call,Travel and Tourism,"Cairo, Egypt • 101-500 employees",https://wuzzuf.net/jobs/careers/Final-Call-Egypt-96490,"Cairo, Egypt",Posted 3 days ago,2023-11-26,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research ,analytical - Call Center - COPC - Management - MS Office - Operations ,"Communicate changes to scheduling to ensure suitable daily resource coverage. - Use accuracy of schedule measurements for continuous improvement, including making recommendations to improve scheduling efficiency and team member satisfaction. - Provide analytical support to operations and propose recommendations or solutions to enhance efficiency as needed. - Ability to facilitate Daily Operations updates. - Manage non-productive time request process, ensuring activities are planned without impacting SLAs. - Create business reports that provide insight into key data points. - Communicate the results of data analysis in written and verbal form to managers. - Responsible for managing and ensuring that the service level agreements for various programs are met. - Manage the call volume, daily attendance and program break schedules. - Work closely with the operations team to analyze and help improve their delivery processes. - Generate ideas for process and service improvement planning. - Assist with projects and other duties as requested or assigned. ",Proficiency in MS office software. - Good Business writing skills. - Good Presentation Skills. - Good Analytical. - Understanding the nature of the call center industry. - Basic knowledge of COPC Standards & Approaches. - Good understanding of workforce management methodologies. - 
47,47.0,HR Consultant/Analyst,BRISK Business Inc.,"Management Consulting, Training and Coaching",Egypt • 11-50 employees,https://wuzzuf.net/jobs/careers/BRISK-Business-Inc--United-States-32763,"New Cairo, Cairo",Posted 10 days ago,2023-11-26,5 to 10 years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources ,HR - Human Resources - HRIS - Analysis - business - Recruitment - Human Resources (HR) ,,
48,48.0,Investment/ Financial analyst,Kgroup,FMCG,Egypt • More than 1000 employees,https://wuzzuf.net/jobs/careers/Elkhlood-Group-Egypt-40491,"New Cairo, Cairo",Posted 9 hours ago,2023-11-26,2 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Accounting/Finance - Analyst/Research ,Accounting - Economics - Financial Analysis - Investment - Investment Analysis - Statistics - analytical - CFA - Finance - FMCG ,"Consolidate and analyze financial data (Cash flow, budgets, income statement forecasts etc.)  - taking into account company’s goals and financial standing. - Develop financial models, conduct benchmarking and process analysis. - Conduct business studies on past, future and comparative performance and develop forecast models - Identify trends, advise company and recommend actions to a senior financial analyst based on sound analysis. - Track and determine financial status by analyzing actual results in comparison with - Financial Modeling: Preparation of detailed financial models, valuation and sensitivity analysis. - Economics & financial model inputs: facilitate the economic analysis of projects from an investment - perspective, including identifying key regulations and cost assumptions. - Presenting the project to Head of Investment - Provide an interface for advisers working on financial, tax and accounting matters. ","BS degree in Finance, Accounting or related field - 2- 3 years of experience  - FMCG Experience is preferred. - CFA level one/ or knowledge is PLUS. -  Proven working experience as an Investment Analyst - Solid understanding of financial set-up, procedures, statistics and economics -  Excellent investment analysis software user -  Strong numeric skills -  Excellent quantitative and qualitative analytical skills - "
49,49.0,Financial Analyst- FP&A,Confidential Company ,unknown,unknown,unknown,"Heliopolis, Cairo",Posted 13 days ago,2023-11-26,2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Accounting/Finance - Manufacturing/Production ,Financial Analysis - Analysis - Corporate Finance - Financial Forecasting - MS Office - Reporting - Forecasting ,"Consolidate and analyze financial data (budgets, income statement forecasts etc.) taking into account company’s goals and financial standing. - Provide creative alternatives and recommendations to reduce costs and improve financial performance. - Develop financial models, conduct benchmarking and process analysis. - Conduct business studies on past, future and comparative performance and develop forecast models. - Identify trends, advise company and recommend actions to a senior financial analyst based on sound analysis. - Track and determine financial status by analyzing actual results in comparison with forecasts. - Reconcile transactions by comparing and correcting data. - Conduct business studies on past, future and comparative performance to develop forecast models. - Coordinate with external auditor’s during year end closing. - Perform other duties as assigned. ","Bachelor’s degree in Finance/Accounting or related field - Proven working experience as a Financial Analyst. - Proficient in spreadsheets, databases, MS Office and financial software applications - SAP user is a must. (Other ERP systems will be considered) - Hands on experience with statistical analysis and statistical packages - Outstanding presentation, reporting and communication skills - Proven knowledge of financial forecasting and diagnosis, corporate finance and information analysis. - "
50,50.0,Software Business Analyst - Job Description,BRISK Business Inc.,"Management Consulting, Training and Coaching",Egypt • 11-50 employees,https://wuzzuf.net/jobs/careers/BRISK-Business-Inc--United-States-32763,"New Cairo, Cairo",Posted 7 days ago,2023-11-26,3 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development ,Business Analysis - Information Technology (IT) - Computer Science - Communication - English ,"A Business Analyst to lead the Business Process definition, analysis, and optimization. - Leading process redesign workshops - Educating business users responsible for managing and operating business processes - Monitoring, measuring and providing feedback on process performance. - Facilitating process workshops that involve eliciting process requirements and liaising with users. - Applying their knowledge of business process modelling and reengineering as well as documenting processes. - The Business Analyst is required to understand how ERP, BPM, CRM and BI tools operate.  - An understanding of protocols like SOAP, WSDL, XML and other key protocols is also desirable. - The Business Analyst must be able to see the big picture, understand project objectives and be able to apply their understanding of how processes should work to facilitate system implementation and testing as well as operational improvement initiatives. - Document process information using visual diagrams in the form of business process models (using the Business Process Management Notation or the Flowchart Notation). - Analyze process models as they are (As-is), compare them to the future and improved designs (To-be) and determine the necessary changes for arriving at the improved state, incorporating all system automation. - Design business processes (To-be) and manage any subsequent changes to them during BAU and ERP system implementation. - Identify, document, and analyze all business processes levels including activities, descriptions, and tasks as well as document rules that govern the implementation of business processes. - Write Business Process Management System (BPMS) specifications to be used by the developers for process automation. - Test and execute processes using the BPMS to ensure that the right results are achieved. - Examine processes holistically to understand the impact of changing them on people, strategy, existing software applications and general business operations. - Collate feedback on process performance. The collected data forms the basis of future process improvement projects. - Monitor and measure the effectiveness of processes to ensure consistent value delivery. ","Lean/Six Sigma Certification. - BPM Certification (AIIM BPM Certificate, Certification from BPMInstitute.org, ABPMP’s Certified - Business Process Professional (CBPP®) - CBAP - CCBA  - BCS   - PMI-PBA  - IIBA - ITIL  - TOGAF - "
51,51.0,QC Finished Product Analyst,Rameda,Pharmaceuticals,Egypt • 101-500 employees,https://wuzzuf.net/jobs/careers/Rameda-Egypt-23014,"6th of October, Giza",Posted 8 hours ago,2023-11-26,1 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Manufacturing/Production - Quality - Pharmaceutical ,QC - Pharmaceutical - Quality Control - Communication skills - Sciences - Pharmaceutical Sciences - quality - Finished Product ,"Analyze finished product and process validation.  -  performing physical analysis for finished drugs   (average weight, friability , Disintegration time, Dissolution, Hardness Refractive index, Karl fisher & loss on drying    -  performing instrumental analysis using (HPLC ,UV ,Atomic spectrophotometer, IR, UPLC &  -      Liquid particulate).  -  Preparation of mobile phase -  Perform analysis & report of finished product  -  Performing analysis for process validation batches. -  Employ is responsible for confidentiality and integrity of data  ","1-3 Years’ experience  - PhD or M.Sc. in pharmaceutical sciences. Or relevant degree. - Analytical thinking, problem solving and communication skills. - "
